web-scraper-order,address_raw,datetime,rooms,area,luxurious,price_per_m2,lat,lon
1693998201-1,"Neuhusstrasse 6, 8630 Rüti ZH, ZH",2023-09-06 15:10:34,3.0,49.0,0,29.41,47.25217056274414,8.845796585083008
1693998201-2,"Zürcherstrasse 1, 8173 Neerach, ZH",2023-09-06 15:10:34,3.5,65.0,0,28.46,47.51333236694336,8.47485065460205
1693998201-4,"Cramerstrasse 8-12, 8004 Zürich, ZH",2023-09-06 15:10:34,2.0,54.0,0,89.87,,
1693998201-5,"Rotachstrasse 33, 8003 Zürich, ZH",2023-09-06 15:10:34,2.0,49.0,0,88.47,47.370792388916016,8.514747619628906
1693998201-16,"Wolframplatz 1, 8045 Zürich, ZH",2023-09-06 15:10:34,2.0,32.0,0,109.84,47.362281799316406,8.52219295501709
1693998205-25,"Badenerstrasse 67, 8953 Dietikon, ZH",2023-09-06 15:10:34,3.5,105.0,0,30.48,47.40792465209961,8.392560958862305
1693998205-26,"Frowiesstrasse 36, 8344 Bäretswil, ZH",2023-09-06 15:10:34,5.5,140.0,0,19.64,,
1693998205-27,"Kanzleistrasse 15, 8418 Schlatt ZH, ZH",2023-09-06 15:10:34,4.5,104.0,0,25.96,47.46419906616211,8.845925331115723
1693998205-29,"Bolletweg 14, 8934 Knonau, ZH",2023-09-06 15:10:34,5.5,150.0,0,22.6,47.226043701171875,8.46156120300293
1693998205-30,"Im Zauner 24, 8352 Elsau, ZH",2023-09-06 15:10:34,3.0,70.0,0,35.0,47.501670837402344,8.805103302001953
1693998205-32,"Maneggstrasse 87, 8041 Zürich, ZH",2023-09-06 15:10:34,3.5,98.0,0,31.85,47.337913513183594,8.520033836364746
1693998205-33,"Haldenstrasse 67, 8602 Wangen b. Dübendorf, ZH",2023-09-06 15:10:34,4.5,118.0,0,28.73,47.4155158996582,8.635632514953613
1693998205-34,"Hobelwerkweg 39a, 8404 Winterthur, ZH",2023-09-06 15:10:34,3.5,86.0,0,22.91,47.50949478149414,8.762660026550293
1693998205-35,"Hobelwerkweg 39a, 8404 Winterthur, ZH",2023-09-06 15:10:34,3.5,71.0,0,22.96,47.50949478149414,8.762660026550293
1693998205-36,"Albisriederstrasse 392a, 8047 Zürich, ZH",2023-09-06 15:10:34,5.5,192.0,0,25.83,47.37469482421875,8.482722282409668
1693998205-37,"Tisliacherstrasse 8, 8320 Fehraltorf, ZH",2023-09-06 15:10:34,5.5,166.0,0,21.08,47.383731842041016,8.760611534118652
1693998205-38,"Buckwiesstrasse 12, 8700 Küsnacht ZH, ZH",2023-09-06 15:10:34,5.5,232.0,0,36.64,47.31980514526367,8.59211254119873
1693998205-39,"Binzigerstrasse 52, 8707 Uetikon am See, ZH",2023-09-06 15:10:34,6.5,300.0,1,0.04,47.26718521118164,8.689931869506836
1693998205-40,"Hinterdorfstr. 4, 8315 Lindau, ZH",2023-09-06 15:10:34,4.5,124.0,0,22.1,47.44243621826172,8.671416282653809
1693998205-41,"Dübendorfstrasse 22, 8602 Wangen b. Dübendorf, ZH",2023-09-06 15:10:34,3.5,94.0,0,25.0,47.40997314453125,8.642498970031738
1693998205-43,"Limmatstrasse 260, 8005 Zürich, ZH",2023-09-06 15:10:34,4.5,170.0,0,38.82,47.38913345336914,8.52584171295166
1693998205-44,"Friedenweg 5, 8192 Glattfelden, ZH",2023-09-06 15:10:34,3.5,100.0,0,20.8,47.55609893798828,8.506474494934082
1693998205-45,"Niederglatterstrasse 21, 8155 Niederhasli, ZH",2023-09-06 15:10:34,3.5,80.0,0,27.96,47.48181915283203,8.487357139587402
1693998205-46,"Marktgasse 17, 8400 Winterthur, ZH",2023-09-06 15:10:34,4.5,160.0,0,20.0,47.49971008300781,8.729727745056152
1693998205-48,"Goldistenstrasse 23, 8625 Gossau ZH, ZH",2023-09-06 15:10:34,7.5,210.0,0,20.0,47.30751037597656,8.764126777648926
1693998210-50,"8152 Glattpark (Opfikon), ZH",2023-09-06 15:10:34,2.5,78.0,0,35.26,47.42475509643555,8.563809394836426
1693998210-51,"Hofackerstrasse 5, 8422 Pfungen, ZH",2023-09-06 15:10:34,4.5,107.0,0,17.76,47.515235900878906,8.642589569091797
1693998210-52,"Untere Briggerstrasse 66, 8406 Winterthur, ZH",2023-09-06 15:10:34,3.5,88.0,0,25.5,47.49394989013672,8.7112398147583
1693998210-53,"Bergstrasse  16, 8955 Oetwil an der Limmat, ZH",2023-09-06 15:10:34,5.5,282.0,0,21.28,47.428916931152344,8.398645401000977
1693998210-54,"Hagenholzstrasse 100, 8050 Zürich, ZH",2023-09-06 15:10:34,4.5,141.0,0,23.47,47.414215087890625,8.558320045471191
1693998210-55,"8303 Bassersdorf, ZH",2023-09-06 15:10:34,4.5,136.0,0,25.0,47.44166946411133,8.630970001220703
1693998210-56,"8152 Glattbrugg, ZH",2023-09-06 15:10:34,1.5,26.0,0,61.54,47.43394470214844,8.5704927444458
1693998210-57,"8182 Hochfelden, ZH",2023-09-06 15:10:34,5.5,148.0,0,20.22,47.52355194091797,8.51548957824707
1693998210-58,"Lehenstrasse 51, 8037 Zürich, ZH",2023-09-06 15:10:34,1.5,35.0,0,49.71,47.39653015136719,8.523354530334473
1693998210-59,"8180 Bülach, ZH",2023-09-06 15:10:34,4.0,80.0,0,26.88,47.5200309753418,8.5663423538208
1693998210-60,"8340 Hinwil, ZH",2023-09-06 15:10:34,5.5,135.0,0,28.52,47.291812896728516,8.820669174194336
1693998210-61,"Aprikosenstrasse 5, 8051 Zürich, ZH",2023-09-06 15:10:34,1.0,23.0,0,69.13,47.405818939208984,8.570385932922363
1693998210-62,"8800 Thalwil, ZH",2023-09-06 15:10:34,2.5,75.0,0,25.33,47.297332763671875,8.556255340576172
1693998210-63,"8427 Rorbas, ZH",2023-09-06 15:10:34,4.5,127.0,0,19.69,47.53139877319336,8.58006763458252
1693998210-64,"Breitenstrasse 14, 8134 Adliswil, ZH",2023-09-06 15:10:34,3.5,71.0,0,29.37,47.306339263916016,8.519155502319336
1693998210-65,"Wallisellerstrasse 24, 8152 Glattbrugg, ZH",2023-09-06 15:10:34,3.5,81.0,0,32.72,47.43341827392578,8.568982124328613
1693998210-66,"8636 Wald ZH, ZH",2023-09-06 15:10:34,3.5,113.0,0,19.03,47.27400588989258,8.915390968322754
1693998210-67,"Wülflingerstrasse 25, 8400 Winterthur, ZH",2023-09-06 15:10:34,3.5,80.0,0,24.75,47.504737854003906,8.71804428100586
1693998210-69,"8041 Zürich, ZH",2023-09-06 15:10:34,2.5,73.0,0,47.4,47.32240295410156,8.51379680633545
1693998210-70,"Ida-Sträuli-Strasse 39, 8404 Winterthur, ZH",2023-09-06 15:10:34,2.5,66.0,0,38.18,47.50312042236328,8.766748428344727
1693998210-71,"Chrüzweg 4, 8805 Richterswil, ZH",2023-09-06 15:10:34,4.0,83.0,0,23.8,47.20819091796875,8.706659317016602
1693998210-72,"Herbstweg 57, 8050 Zürich, ZH",2023-09-06 15:10:34,3.5,71.0,0,37.32,47.40635299682617,8.561315536499023
1693998214-75,"Fangletenstrasse 6, 8180 Bülach, ZH",2023-09-06 15:10:34,3.5,96.0,0,25.57,47.52735137939453,8.53823471069336
1693998214-76,"8154 Oberglatt ZH, ZH",2023-09-06 15:10:34,2.5,88.0,0,22.84,47.48006820678711,8.524243354797363
1693998214-77,"Oberdorfstrasse, 8934 Knonau, ZH",2023-09-06 15:10:34,4.0,240.0,0,14.58,47.22494125366211,8.4617280960083
1693998214-78,"8004 Zürich, ZH",2023-09-06 15:10:34,2.5,45.0,0,56.0,47.3746452331543,8.523855209350586
1693998214-79,"Poststrasse, 8953 Dietikon, ZH",2023-09-06 15:10:34,1.0,18.0,0,61.11,47.403568267822266,8.405932426452637
1693998214-82,"Baurstrasse 29, 8008 Zürich, ZH",2023-09-06 15:10:34,1.5,30.0,0,126.33,47.35592269897461,8.554497718811035
1693998214-83,"Baurstrasse 29, 8008 Zürich, ZH",2023-09-06 15:10:34,1.5,25.0,0,139.6,47.35592269897461,8.554497718811035
1693998214-84,"Zentralstrasse 37, 8003 Zürich, ZH",2023-09-06 15:10:34,2.5,75.0,0,87.87,47.37150573730469,8.519575119018555
1693998214-85,"Alter Seeweg, 8124 Maur, ZH",2023-09-06 15:10:34,3.5,118.0,0,28.81,47.33884811401367,8.672297477722168
1693998214-86,"Friedhofstrasse 9, 8104 Weiningen ZH, ZH",2023-09-06 15:10:34,1.0,30.0,0,16.67,47.42219161987305,8.435792922973633
1693998214-87,"8049 Zürich, ZH",2023-09-06 15:10:34,2.0,70.0,0,23.21,47.4071159362793,8.494709968566895
1693998214-88,"Dorfstrasse 2, 8309 Nürensdorf, ZH",2023-09-06 15:10:34,5.5,150.0,0,30.0,47.45838928222656,8.638628959655762
1693998214-89,"Schulhausstrasse, 8180 Bülach, ZH",2023-09-06 15:10:34,1.0,20.0,0,37.5,47.51849365234375,8.537640571594238
1693998214-90,"8400 Winterthur, ZH",2023-09-06 15:10:34,4.5,117.0,0,32.32,47.49886703491211,8.722684860229492
1693998214-91,"Gutrainstrasse 7 A, 8303 Bassersdorf, ZH",2023-09-06 15:10:34,5.0,130.0,0,22.38,,
1693998214-92,"Niderdürstelenstrasse 59, 8494 Bauma, ZH",2023-09-06 15:10:34,3.5,73.0,0,26.71,47.37016296386719,8.855679512023926
1693998214-93,"Bucheggstrasse 130, 8057 Zürich, ZH",2023-09-06 15:10:34,1.5,35.0,0,51.43,47.398319244384766,8.538369178771973
1693998214-94,"8704 Herrliberg, ZH",2023-09-06 15:10:34,1.0,18.0,0,63.89,47.28742218017578,8.617650032043457
1693998214-95,"Mülibachstrasse 9, 8805 Richterswil, ZH",2023-09-06 15:10:34,3.5,105.0,1,32.48,47.2037467956543,8.705288887023926
1693998214-96,"Rauchackerstrasse 48, 8102 Oberengstringen, ZH",2023-09-06 15:10:34,1.0,25.0,0,51.6,47.40972137451172,8.456247329711914
1693998219-97,"Dättlikonerstrasse 4, 8422 Pfungen, ZH",2023-09-06 15:10:34,2.5,86.0,0,28.6,47.51786804199219,8.638663291931152
1693998219-98,"Hagenbuchstrasse 29, 8192 Zweidlen, ZH",2023-09-06 15:10:34,3.5,96.0,0,23.96,47.570011138916016,8.469552993774414
1693998219-114,"Forchstrasse 84, 8008 Zürich, ZH",2023-09-06 15:10:34,2.0,62.0,0,47.9,47.36206817626953,8.559245109558105
1693998219-115,"Heiselstrasse 89, 8155 Niederhasli, ZH",2023-09-06 15:10:34,2.5,57.0,0,24.04,47.483543395996094,8.496526718139648
1693998219-116,"Grosswiesenstr. 61, 8422 Pfungen, ZH",2023-09-06 15:10:34,2.5,60.0,0,25.17,47.51723861694336,8.640911102294922
1693998219-117,"Obermattweg 3, 8545 Rickenbach ZH, ZH",2023-09-06 15:10:34,4.5,124.0,0,17.5,47.549869537353516,8.794327735900879
1693998219-118,"8002 Zürich, ZH",2023-09-06 15:10:34,8.5,210.0,0,40.48,47.36497497558594,8.537369728088379
1693998219-119,"Freudenbergstrasse, 8044 Zürich, ZH",2023-09-06 15:10:34,2.5,90.0,0,34.78,47.379554748535156,8.559854507446289
1693998224-121,"Mitteldorfstrasse 27, 8475 Ossingen, ZH",2023-09-06 15:10:34,4.5,106.0,0,20.47,47.611351013183594,8.726527214050293
1693998224-122,"Rainstrasse 80, 8712 Stäfa, ZH",2023-09-06 15:10:34,4.5,148.0,0,29.73,47.248626708984375,8.720181465148926
1693998224-123,"Keltenstrasse 12, 8044 Zürich, ZH",2023-09-06 15:10:34,1.5,63.0,0,47.3,47.376548767089844,8.561196327209473
1693998224-124,"Im Gsteig 9, 8712 Stäfa, ZH",2023-09-06 15:10:34,7.0,115.0,0,30.43,,
1693998224-125,"Hirschweg 9, 8405 Winterthur, ZH",2023-09-06 15:10:34,6.5,143.0,0,24.48,47.482582092285156,8.768205642700195
1693998224-126,"Neunfornerstrasse 4, 8479 Altikon, ZH",2023-09-06 15:10:34,4.5,133.0,0,15.04,47.573734283447266,8.781241416931152
1693998224-127,"Binzstr. 41, 8620 Wetzikon ZH, ZH",2023-09-06 15:10:34,3.5,74.0,0,26.88,47.329345703125,8.800528526306152
1693998224-128,"Müliwiesstrasse 71, 8487 Zell ZH, ZH",2023-09-06 15:10:34,4.5,133.0,0,18.42,47.442684173583984,8.820551872253418
1693998224-130,"Leigass 7, 8820 Wädenswil, ZH",2023-09-06 15:10:34,4.0,76.0,0,28.95,47.2255859375,8.672236442565918
1693998224-131,"Hagenholzstrasse 59, 8050 Zürich, ZH",2023-09-06 15:10:34,1.5,24.0,0,81.67,47.41465759277344,8.555407524108887
1693998224-132,"Im Rebacher 10, 8118 Pfaffhausen, ZH",2023-09-06 15:10:34,5.5,121.0,0,23.97,47.3621940612793,8.621418952941895
1693998224-133,"Forchstrasse 150, 8032 Zürich, ZH",2023-09-06 15:10:34,2.5,64.0,1,40.0,47.360294342041016,8.564233779907227
1693998224-134,"Wartstr. 30, 8400 Winterthur, ZH",2023-09-06 15:10:34,1.0,49.0,0,28.37,47.50136947631836,8.72093677520752
1693998224-135,"Am Eulachpark 25, 8404 Winterthur, ZH",2023-09-06 15:10:34,6.5,143.0,0,21.1,47.506324768066406,8.763714790344238
1693998224-138,"Pfingstweidstrasse 98, 8005 Zürich, ZH",2023-09-06 15:10:34,1.5,81.0,0,38.65,47.39064025878906,8.51033878326416
1693998224-139,"Wolfgrabenstrasse 15c, 8135 Langnau am Albis, ZH",2023-09-06 15:10:34,4.5,111.0,0,28.2,47.285430908203125,8.530309677124023
1693998224-140,"Eilweg 8, 8634 Hombrechtikon, ZH",2023-09-06 15:10:34,4.5,81.0,0,21.6,47.248863220214844,8.772636413574219
1693998224-141,"Katharina Sulzer Platz 2, 8400 Winterthur, ZH",2023-09-06 15:10:34,1.0,132.0,0,24.7,47.496612548828125,8.718550682067871
1693998224-143,"Mühlebachstr. 28, 8008 Zürich, ZH",2023-09-06 15:10:34,4.5,128.0,0,44.61,47.3648567199707,8.550126075744629
1693998224-144,"Dättlikonerstrasse 4, 8422 Pfungen, ZH",2023-09-06 15:10:34,3.5,84.0,0,26.55,47.51786804199219,8.638663291931152
1693998228-145,"Wechselächerstrasse 41, 8103 Unterengstringen, ZH",2023-09-06 15:10:34,3.5,87.0,0,32.07,47.411895751953125,8.441164016723633
1693998228-146,"Vulkanstrasse 110c, 8048 Zürich, ZH",2023-09-06 15:10:34,3.0,100.0,0,48.0,47.39374923706055,8.484014511108398
1693998228-147,"Wehntalerstrasse 38, 8157 Dielsdorf, ZH",2023-09-06 15:10:34,5.5,120.0,0,24.58,47.48212432861328,8.453387260437012
1693998228-148,"8004 Zürich, ZH",2023-09-06 15:10:34,2.5,48.0,0,70.0,47.3746452331543,8.523855209350586
1693998228-149,"Brunnenwiesenstrasse 15, 8105 Regensdorf, ZH",2023-09-06 15:10:34,4.5,177.0,0,22.43,47.42833709716797,8.480559349060059
